Race Session (date),Piece,KM,Rigging,Personnel,Result
2/18/2012,1,1.5,c/p/s/p/s,"Struzyna/Bertoldo/Gennaro/James,G.",04:44.9
2/18/2012,2,1.5,c/p/s/p/s/p/s/p/s,Stafford/Peszek/Inman/Kasprzyk/Walsh/Newlin/Banks/Guregian,04:16.0
2/18/2012,2,1.5,c/p/s/p/s,"Blomquist/BERTOLDO/James,R./Monaghan",04:37.6
2/18/2012,2,1.5,c/p/s/p/s,"Struzyna/COPPOLA/Gennaro/James,G.",04:46.7
2/18/2012,3,1.5,c/p/s/p/s/p/s/p/s,Stafford/Peszek/Inman/Kasprzyk/LANZONE/Newlin/Banks/OTTO,04:12.0
2/18/2012,3,1.5,c/p/s/p/s,"STRUZYNA/Bertoldo/James,R./Monaghan",04:41.5
2/18/2012,3,1.5,c/p/s/p/s,"BLOMQUIST/Coppola/Gennaro/James,G.",04:43.5
2/19/2012,1,1,c/p/s/p/s/p/s/p/s,"Walsh/Otto/Blomquist/Newlin/James,R./Bertoldo/Gennaro/Monaghan",02:42.2
2/19/2012,1,1,c/p/s/p/s/p/s/p/s,"Stafford/Peszek/Inman/Kasprzyk/Lanzone/Guregian/Banks/James,G.",02:43.1
2/19/2012,2,1,c/p/s/p/s/p/s/p/s,"Walsh/Otto/Blomquist/Newlin/James,R./Bertoldo/Gennaro/Monaghan",02:47.2
2/19/2012,2,1,c/p/s/p/s/p/s/p/s,"Stafford/Peszek/Inman/Kasprzyk/Lanzone/Guregian/Banks/James,G.",02:49.0
2/19/2012,3,1,c/p/s/p/s/p/s/p/s,"Walsh/Otto/Blomquist/Newlin/James,R./Bertoldo/Gennaro/JAMES,G.",02:44.8
2/19/2012,3,1,c/p/s/p/s/p/s/p/s,Stafford/Peszek/Inman/Kasprzyk/Lanzone/Guregian/Banks/MONAGHAN,02:46.1
2/23/2012,1,3.4,c/p/s/p/s/p/s/p/s,"Walsh/Kasprzyk/Blomquist/Newlin/Lanzone/Peszek/Banks/James,G.",11:02.0
2/23/2012,1,3.4,c/p/s/p/s/p/s/p/s,Stafford/Otto/Inman/Coppola/Struzyna/Bertoldo/Gennaro/Monaghan,11:12.0
2/23/2012,2,3.4,c/p/s/p/s/p/s/p/s,"Walsh/Kasprzyk/Blomquist/Newlin/Lanzone/Peszek/Banks/James,G.",09:41.0
2/23/2012,2,3.4,c/p/s/p/s/p/s/p/s,Stafford/Otto/Inman/GUREGIAN/Struzyna/Bertoldo/Gennaro/Monaghan,09:52.7
2/23/2012,3,3.4,c/p/s/p/s/p/s/p/s,"Walsh/Kasprzyk/Blomquist/Newlin/Lanzone/Peszek/Banks/James,G.",11:02.0
2/23/2012,3,3.4,c/p/s/p/s/p/s/p/s,"Stafford/Otto/Inman/COPPOLA/JAMES,R./Bertoldo/Gennaro/Monaghan",11:12.0
2/25/2012,1,1.5,c/p/s/p/s,"Blomquist/Newlin/Lanzone/James,G.",04:39.3
2/25/2012,1,1.5,c/p/s/p/s,Inman/Otto/Stafford/Monaghan,04:41.3
2/25/2012,1,1.5,c/p/s/p/s,Walsh/Kasprzyk/Banks/Peszek,04:40.5
2/25/2012,2,1.5,c/p/s/p/s,"INMAN/Newlin/Lanzone/James,G.",04:38.2
2/25/2012,2,1.5,c/p/s/p/s,BLOMQUIST/Otto/Stafford/Monaghan,04:37.3
2/25/2012,2,1.5,c/p/s/p/s,Walsh/Kasprzyk/Banks/Peszek,04:38.1
2/25/2012,3,1.5,c/p/s/p/s,Inman/Newlin/Lanzone/MONAGHAN,04:38.1
2/25/2012,3,1.5,c/p/s/p/s,"Blomquist/Otto/Stafford/JAMES,G.",04:38.1
2/25/2012,3,1.5,c/p/s/p/s,Walsh/Kasprzyk/Banks/Peszek,04:41.3
2/25/2012,1,1,p/s,"James,R./Guregian",03:24.0
2/25/2012,1,1,p/s,Gennaro/Bertoldo,03:29.4
2/25/2012,1,1,p/s,Struzyna/Coppola,03:29.3
2/25/2012,2,1,p/s,"James,R./Guregian",03:22.2
2/25/2012,2,1,p/s,Gennaro/Bertoldo,03:23.2
2/25/2012,2,1,p/s,Struzyna/Coppola,03:24.5
2/25/2012,3,1,p/s,"James,R./Guregian",03:27.2
